,,cost,load,fuel cost,cost_norm,load_norm,del_load_norm,fuel_norm,weather,,,,
203,May-93,15.49,63877.45,8.13,0.46,0.18,-0.04,0.22,1,,,,
204,Jun-93,15.81,76585.89,8.18,0.5,0.28,0.1,0.22,1,,,,
205,Jul-93,15.77,101066.69,8.15,0.5,0.47,0.19,0.22,1,,,,
206,Aug-93,15.73,102222.44,8.08,0.49,0.48,0.01,0.22,0,,,,
207,Sep-93,15.82,88920.15,8.02,0.5,0.38,-0.1,0.21,0,,,,
208,Oct-93,15.7,71760.12,8.08,0.49,0.24,-0.14,0.21,0,,,,
209,Nov-93,14.68,72716.59,7.75,0.37,0.25,0.01,0.2,1,,,,
210,Dec-93,14.11,87690.86,7.37,0.31,0.37,0.12,0.18,1,,,,
211,Jan-94,13.83,103777.52,7.31,0.28,0.5,0.13,0.17,1,,,,
212,Feb-94,13.97,89669.87,7.49,0.29,0.38,-0.12,0.18,1,,,,
213,Mar-94,14.35,79920.66,7.51,0.34,0.3,-0.08,0.18,0,,,,
214,Apr-94,14.73,69502.06,7.61,0.38,0.22,-0.08,0.19,0,,,,
215,May-94,15.11,67169.8,7.7,0.42,0.2,-0.02,0.19,1,,,,
216,Jun-94,15.49,84091.08,7.96,0.46,0.34,0.14,0.21,1,,,,
217,Jul-94,15.49,103601.8,8.1,0.46,0.49,0.15,0.22,1,,,,
218,Aug-94,15.52,96743,8.17,0.47,0.44,-0.05,0.22,0,,,,
219,Sep-94,15.45,85348.79,8.01,0.46,0.35,-0.09,0.21,0,,,,
220,Oct-94,14.97,71701.83,7.73,0.41,0.24,-0.11,0.2,0,,,,
221,Nov-94,14.46,71089.91,7.61,0.35,0.23,-0.01,0.19,1,,,,
222,Dec-94,14.03,85865.36,7.45,0.3,0.35,0.12,0.18,1,,,,
223,Jan-95,13.6,96572.74,7.39,0.25,0.44,0.09,0.18,1,,,,
224,Feb-95,13.84,86710.93,7.35,0.28,0.36,-0.08,0.18,1,,,,
225,Mar-95,14.03,79475.2,7.34,0.3,0.3,-0.06,0.18,0,,,,
226,Apr-95,14.44,68573.74,7.51,0.35,0.21,-0.09,0.18,0,,,,
227,May-95,14.62,70081.84,7.75,0.37,0.23,0.02,0.2,1,,,,
228,Jun-95,14.92,84217.84,7.91,0.4,0.34,0.11,0.21,1,,,,
229,Jul-95,15.03,104020.58,7.82,0.41,0.5,0.16,0.2,1,,,,
230,Aug-95,14.97,114903.4,7.82,0.4,0.58,0.08,0.2,0,,,,
231,Sep-95,14.59,93900.12,7.72,0.36,0.42,-0.16,0.2,0,,,,
232,Oct-95,14.69,74704.41,7.38,0.37,0.26,-0.16,0.18,0,,,,
233,Nov-95,14.01,76926.51,7.13,0.3,0.28,0.02,0.16,1,,,,
234,Dec-95,13.58,92414.17,7.22,0.25,0.4,0.12,0.17,1,,,,
235,Jan-96,13.06,108620.45,7.44,0.19,0.53,0.13,0.18,1,,,,
236,Feb-96,13.14,96117.55,7.46,0.2,0.43,-0.1,0.18,1,,,,
237,Mar-96,13.56,87040.09,7.72,0.25,0.36,-0.07,0.2,0,,,,
238,Apr-96,13.76,74614.67,8.21,0.27,0.26,-0.1,0.22,0,,,,
239,May-96,14.23,74538.77,8.31,0.32,0.26,0,0.23,1,,,,
240,Jun-96,14.39,90946.83,8.21,0.34,0.39,0.13,0.22,1,,,,
241,Jul-96,14.5,106125.47,8.24,0.35,0.51,0.12,0.22,1,,,,
242,Aug-96,14.69,105557.33,8.29,0.37,0.51,0,0.23,0,,,,
243,Sep-96,14.53,91585.44,8.33,0.36,0.4,-0.11,0.23,0,,,,
244,Oct-96,14.29,75379.29,8.38,0.33,0.27,-0.13,0.23,0,,,,
245,Nov-96,13.55,78254.99,8.28,0.24,0.29,0.02,0.23,1,,,,
246,Dec-96,13.09,93730.88,8.33,0.19,0.42,0.13,0.23,1,,,,
247,Jan-97,12.87,106136.91,8.36,0.17,0.51,0.09,0.23,1,,,,
248,Feb-97,13.03,90250.61,8.23,0.19,0.39,-0.12,0.22,1,,,,
249,Mar-97,13.44,81421.38,7.9,0.23,0.32,-0.07,0.21,0,,,,
250,Apr-97,13.66,72742.69,7.75,0.26,0.25,-0.07,0.2,0,,,,
251,May-97,14.1,70778.29,7.8,0.31,0.23,-0.02,0.2,1,,,,
252,Jun-97,14.5,83584.68,7.96,0.35,0.33,0.1,0.21,1,,,,
253,Jul-97,14.2,109331.11,7.92,0.32,0.54,0.21,0.21,1,,,,
254,Aug-97,14.27,106969.52,8.05,0.33,0.52,-0.02,0.21,0,,,,
255,Sep-97,14.15,94801.49,7.99,0.31,0.42,-0.1,0.21,0,,,,
